Laptop Gaming OMEN HyperX Intel Core i7 16 GB RAM RTX 5060 512 GB SSD 15.3"

Precio: S/. 7 499.00
Precio en oferta: S/. 7 399.00

ESPECIFICACIONES:
Marca tarjeta gráfica	Nvidia
Tipo de Portátil	Laptop Gamer
Tarjeta gráfica específica	NVIDIA® GEFORCE RTX ™ 5060 GPU portátil (8 GB GDDR7 dedicado)
Detalle de la garantía	1 año de garantía limitada de hardware con soporte técnico telefónico gratuito. 90 días de soporte técnico limitado para software (a partir de la fecha de compra).
Año de lanzamiento	2026
Procesador específico	Intel Core i7-14650HX
Criterios de Sostenibilidad	Producción Sustentable
Profundidad	26,9 cm
Largo	34,3 cm
Alto	2.35 cm
Sistema operativo específico	Windows 11 Home
Ancho	25,3 cm
Pantalla touch	No
Condicion del producto	Nuevo
alto	2,36 cm
Ancho	35.7 cm
Tamaño de la pantalla	15.3
Características	Cuenta con interfaz de audio profesional
Resolución de pantalla	FHD+
Procesador	Intel Core I7
Detalle de la Condición	Producto nuevo sellado
Dimensiones	A partir de 34,3 x 25,3 x 2,25 cm (frontal);A partir de 34,3 x 25,3 x 2,36 cm (trasero)
Cantidad de puertos USB	3
Modelo	15-ga0001la
Hecho en	China
Capacidad de almacenamiento	1TB
Requiere Serial Number	No
Rendimiento	Alto rendimiento
Color	Negro
Cuenta con bluetooth	Sí
Garantía del proveedor	1 año
Sistema de sonido	2,0 (estereofónico)
Núcleos del procesador	16 core
Cantidad de puertos HDMI	1
Características de la pantalla	IPS
Velocidad de imagen	165Hz
Incluye	Laptop + cargador
Disco duro secundario	No aplica
Capacidad de la tarjeta de video	8GB
Sistema operativo	Windows 11
Tasa de refresco nativa	165 Hz
Sistema Operativo	Windows 11 Home
Duración de la batería (hrs)	6
Velocidad de procesamiento (GHz)	Hasta 5.2 GHz
Memoria RAM	16GB
Profundidad	26.9 cm
Velocidad del procesador	Hasta 5.2 GHz
Largo	26.9 cm
